,OPN,RAT
Albania,-0.32962167884389704,0.060038084731209439
Algeria,-0.32368737670234893,-0.27723512926779348
Andorra,0.67982211669660375,0.69754139190025655
Argentina,0.55465679085826414,-0.023222624863165092
Armenia,-0.44989189115132727,-0.18398515394656098
Australia,0.48017681938159607,0.42053457114475257
Austria,0.41316450681221079,0.31152599818229992
Azerbaijan,-0.54835618534698072,-0.13002606291060875
Bahrain,0.13336972465933258,-0.15879412112778185
Bangladesh,-0.31846145030852668,-0.50777186202263858
Belarus,-0.29799188382913722,0.38517035096212354
Belgium,0.47328402721813578,0.54785780680410856
Bosnia,-0.077765889260354493,-0.071949292614707588
Brazil,0.38854409230785297,-0.13521718881008202
Bulgaria,-0.15968133956665745,0.32494386785584656
Burkina Faso,-0.22736166082062889,-0.17389848853845841
Canada,0.50079410764812815,0.21826748272834209
Chile,0.26516965511910262,-0.15024620275955319
China,-0.3141019796469916,0.20863736243105704
Colombia,0.28663363626289651,-0.36218324020954923
Croatia,0.043987651691774446,0.19604480061411617
Cyprus (G),0.021513585373480693,-0.10325276241360594
Cyprus (T),-0.19488717127241667,-0.32080316493338279
Czech Rep.,0.11790934297071036,0.64302948267476456
Denmark,0.69392294815439637,0.53360696063025859
Dominican Rep.,0.04270907997584468,-0.22586393819408471
Ecuador,0.01423494006717468,-0.35501990773123721
Egypt,-0.35494437126354161,-0.39502262159062651
El Salvador,-0.063841564478418281,-0.5390845367557513
Estonia,-0.21519195211688988,0.36008974193287691
Ethiopia,-0.23455410134143409,-0.12332869844309985
Finland,0.39311045460905097,0.45243210255705057
France,0.46808126765236829,0.50123724288647531
Georgia,-0.43639200256282534,-0.33200364656628506
Germany,0.40086677519223746,0.6537172049952138
Ghana,-0.27716488596483413,-0.5994467344625356
Great Britain,0.44418848537962113,0.35581504677299564
Greece,0.28322554659085869,0.31229492535915071
Guatemala,0.39341485307724477,-0.45604009523487182
Hong Kong,-0.051806978837225015,0.33502546584723775
Hungary,-0.041608265947653836,0.28230339857792858
Iceland,0.65502543863576401,0.32431137906747942
India,-0.35896472466687968,0.020693267606333009
Indonesia,-0.28320136614107516,-0.63249277290181039
Iran,-0.13710664218270699,-0.35726090113307529
Iraq,-0.29662767880037427,-0.30615492960273599
Ireland,0.42004413470710289,-0.03154982541497027
Israel,0.1563057874056285,0.20911610575851799
Italy,0.35250382731760821,0.20195604982795248
Japan,0.072146485819963149,0.44524806741235173
Jordan,-0.53584196168625542,-0.70963253428848649
Kazakhstan,-0.30484673182842564,-0.065407016239186919
Kosovo,-0.038989741173396882,-0.3670432768320413
Kuwait,-0.28725498405081568,-0.32051109268101885
Kyrgyzstan,-0.39928823098897664,-0.16627551310865432
Latvia,-0.18429224267572489,0.36980747093342892
Lebanon,-0.1768977656089476,-0.069382502442405791
Libya,-0.47113240337291978,-0.45229851201210758
Lithuania,-0.33094277615351769,0.36913600021721588
Luxembourg,0.54960196648276238,0.38056682234719041
Macedonia,-0.18673923076207255,0.030227011413787478
Malaysia,-0.37709181748872711,-0.33511773487369168
Mali,-0.34034021285479765,-0.14441776203826653
Malta,0.15965597637877083,-0.36898987361096153
Mexico,0.20289994832199576,-0.067826745655545181
Moldova,-0.43525757779711904,0.026225298215772685
Morocco,-0.25835855691335219,-0.60697302167120615
Netherlands,0.54374668307908025,0.59155033892783337
New Zealand,0.54037358265079516,0.46236859656510115
Nigeria,-0.35146187894647141,-0.49164554978192099
North Ireland,0.36680900680840428,0.088563877859230075
Norway,0.58894900056119315,0.57161886017832908
Pakistan,0.019420316335580848,-0.53065536692579951
Palestine,-0.52719844194568732,-0.30564041008505732
Peru,0.12947783236121019,-0.1699190282873079
Philippines,-0.24099713334926443,-0.20563400256189032
Poland,0.069071674671789721,-0.14757288491486972
Portugal,0.25823258904171292,0.054416876036822472
Puerto Rico,0.45474352729711182,-0.4393599815326078
Qatar,-0.33845502083359746,-0.36537494570813439
Romania,-0.12057436860395906,-0.095074205221886574
Russia,-0.30587035956055697,0.30358604357191082
Rwanda,-0.21933916049181917,-0.34730691807016206
Saudi Arabia,-0.30212721266911258,-0.35350420898351925
Serbia and Montenegro,-0.12629386829502656,0.24168901944044716
Singapore,-0.061229782141267106,-0.18398895302438772
Slovakia,-0.026837824009616307,0.31409665989096047
Slovenia,0.22908039361024507,0.39032870850687207
South Africa,-0.019165264784090454,-0.13727793339114702
South Korea,-0.26080658488761077,0.32341528790097474
Spain,0.50992625708305162,0.39937841308861682
Sweden,0.62498627036581578,0.73642990476771009
Switzerland,0.61008715309668549,0.38909611117006143
Taiwan,-0.078880081891526996,0.042702514872941015
Tanzania,-0.30219077059416932,-0.47726403643574011
Thailand,-0.30898215838821619,-0.12680425065097162
Trinidad and Tobago,0.29128390390737052,-0.41258055525901527
Tunisia,-0.16478899202170166,-0.54612768948070256
Turkey,-0.4587049707879462,-0.23733784671597496
Uganda,-0.19747511677224971,-0.29362215524470681
Ukraine,-0.24587183100865809,0.087319383232160874
United States,0.3181705052675462,0.075564690001396526
Uruguay,0.57452335650498476,0.11543975412322771
Uzbekistan,-0.28097388157814834,-0.2837827550020563
Venezuela,0.1098564131574751,-0.40320843070419476
Viet Nam,-0.21904651767553712,-0.15405770144644931
Yemen,-0.27446420837112473,-0.39175554771580773
Zambia,-0.34017559112534113,-0.14054118335798346
Zimbabwe,-0.19596089785026,-0.49826639464183575
